date,total_demand,primary_demand,secondary_demand,tertiary_demand,residential_demand
2009-07-01,3420.02,,,,
2009-08-01,3462.23,107.27,2499.05,396.88,459.33
2009-09-01,3224.08,83.19,2307.11,379.81,456.13
2009-10-01,3134.23,77.68,2362.8,324.38,374.71
2009-11-01,3283.88,67.54,2466.55,316.06,365.6
2009-12-01,,,,,
2010-01-01,3531.0,,,,
2010-02-01,,,,,
2010-03-01,3435.0,,,,
2010-04-01,3394.0,,,,
2010-05-01,3480.0,167.52,5295.3,655.47,760.58
2010-06-01,3520.0,93.0,2713.0,351.0,363.0
2010-07-01,3896.0,115.0,2939.0,405.0,436.0
2010-08-01,3975.0,112.0,2864.0,467.0,517.0
2010-09-01,,,,,
2010-10-01,3400.0,163.0,4968.0,810.0,956.0
2010-11-01,3460.0,74.0,2641.0,349.0,388.0
2010-12-01,3625.0,69.0,2751.0,380.0,426.0
2011-01-01,,,,,
2011-02-01,3136.0,,,,
2011-03-01,3888.0,66.0,2952.0,384.0,485.0
2011-04-01,3768.0,84.0,2870.0,379.0,430.0
2011-05-01,3865.0,93.0,3012.0,364.0,401.0
2011-06-01,3965.0,103.0,3054.0,405.0,409.0
2011-07-01,4349.0,116.0,3292.0,469.0,476.0
2011-08-01,4343.0,115.0,3186.0,512.0,558.0
2011-09-01,3915.0,89.0,2796.0,479.0,552.0
2011-10-01,3797.0,77.0,2854.0,408.0,455.0
2011-11-01,3836.0,73.0,2976.0,406.0,430.0
2011-12-01,,,,,
2012-01-01,,,,,
2012-02-01,3863.0,,,,
2012-03-01,4160.0,67.0,3069.0,458.0,566.0
2012-04-01,3899.0,77.0,2909.0,419.0,493.0
2012-05-01,4061.0,92.0,3132.0,406.0,434.0
2012-06-01,4136.0,106.0,3154.0,450.0,426.0
2012-07-01,4556.0,124.0,3401.0,520.0,533.0
2012-08-01,4495.0,113.0,3203.0,567.0,613.0
2012-09-01,4051.0,93.0,2839.0,525.0,597.0
2012-10-01,3998.0,72.0,3006.0,446.0,475.0
2012-11-01,4139.0,73.0,3162.0,452.0,460.0
2012-12-01,,,,,
2013-01-01,,,,,
2013-02-01,3374.0,,,,
2013-03-01,4241.0,61.0,3160.0,459.0,566.0
2013-04-01,4165.0,81.0,3135.0,458.0,490.0
2013-05-01,4269.0,92.0,3275.0,443.0,461.0
2013-06-01,4384.0,99.0,3321.0,497.0,470.0
2013-07-01,4950.0,113.0,3658.0,584.0,585.0
2013-08-01,5103.0,118.0,3577.0,652.0,755.0
2013-09-01,4570.0,91.0,4173.0,872.0,836.0
