date,year,month,province_iso,province_name_cn,total_gen,thermal_gen,hydro_gen,data_flag
2010-01-01,2010,1,CN-11,北京市,25.263890,24.707685,0.391441,historical_disaggregated
2010-02-01,2010,2,CN-11,北京市,17.237212,18.063962,0.158411,historical_disaggregated
2010-03-01,2010,3,CN-11,北京市,21.544118,22.652632,0.206665,historical_disaggregated
2010-04-01,2010,4,CN-11,北京市,21.204604,21.719969,0.253579,historical_disaggregated
2010-05-01,2010,5,CN-11,北京市,21.769182,21.287817,0.340401,historical_disaggregated
2010-06-01,2010,6,CN-11,北京市,22.164962,20.559444,0.428806,historical_disaggregated
2010-07-01,2010,7,CN-11,北京市,24.145780,22.071977,0.503747,historical_disaggregated
2010-08-01,2010,8,CN-11,北京市,24.957161,23.188501,0.501127,historical_disaggregated
2010-09-01,2010,9,CN-11,北京市,22.292199,20.436084,0.460306,historical_disaggregated
2010-10-01,2010,10,CN-11,北京市,21.283887,20.135149,0.384025,historical_disaggregated
2010-11-01,2010,11,CN-11,北京市,22.080563,21.917974,0.309023,historical_disaggregated
2010-12-01,2010,12,CN-11,北京市,23.515345,23.893302,0.287760,historical_disaggregated
2011-01-01,2011,1,CN-11,北京市,21.542828,21.422208,0.318728,historical_disaggregated
2011-02-01,2011,2,CN-11,北京市,17.302039,17.489906,0.208570,historical_disaggregated
2011-03-01,2011,3,CN-11,北京市,21.371433,21.545112,0.263822,historical_disaggregated
2011-04-01,2011,4,CN-11,北京市,20.443502,20.465324,0.269847,historical_disaggregated
2011-05-01,2011,5,CN-11,北京市,21.066215,20.575968,0.327790,historical_disaggregated
2011-06-01,2011,6,CN-11,北京市,22.142012,20.845916,0.425666,historical_disaggregated
2011-07-01,2011,7,CN-11,北京市,23.722787,22.608904,0.447587,historical_disaggregated
2011-08-01,2011,8,CN-11,北京市,23.772448,23.046818,0.420538,historical_disaggregated
2011-09-01,2011,9,CN-11,北京市,21.541619,20.971891,0.364389,historical_disaggregated
2011-10-01,2011,10,CN-11,北京市,20.312933,19.931428,0.321252,historical_disaggregated
2011-11-01,2011,11,CN-11,北京市,20.718031,20.417333,0.316317,historical_disaggregated
2011-12-01,2011,12,CN-11,北京市,22.532044,22.829527,0.283371,historical_disaggregated
2012-01-01,2012,1,CN-11,北京市,22.407702,23.257501,0.257375,historical_disaggregated
2012-02-01,2012,2,CN-11,北京市,22.338881,23.525310,0.186693,historical_disaggregated
2012-03-01,2012,3,CN-11,北京市,24.798046,25.752425,0.228987,historical_disaggregated
2012-04-01,2012,4,CN-11,北京市,22.438454,22.802881,0.242956,historical_disaggregated
2012-05-01,2012,5,CN-11,北京市,23.524108,22.545618,0.368896,historical_disaggregated
2012-06-01,2012,6,CN-11,北京市,23.737739,22.087182,0.417287,historical_disaggregated
2012-07-01,2012,7,CN-11,北京市,26.258459,24.045070,0.507917,historical_disaggregated
2012-08-01,2012,8,CN-11,北京市,26.388810,23.990476,0.523549,historical_disaggregated
2012-09-01,2012,9,CN-11,北京市,23.579628,21.322873,0.467120,historical_disaggregated
2012-10-01,2012,10,CN-11,北京市,23.521694,21.881522,0.410746,historical_disaggregated
2012-11-01,2012,11,CN-11,北京市,24.202415,23.883533,0.315294,historical_disaggregated
2012-12-01,2012,12,CN-11,北京市,26.113625,26.580302,0.277766,historical_disaggregated
2013-01-01,2013,1,CN-11,北京市,24.868610,25.801699,0.228468,historical_disaggregated
2013-02-01,2013,2,CN-11,北京市,24.378135,25.843017,0.232658,historical_disaggregated
2013-03-01,2013,3,CN-11,北京市,25.946635,27.230124,0.245054,historical_disaggregated
2013-04-01,2013,4,CN-11,北京市,24.710020,25.535527,0.257723,historical_disaggregated
